Hauteur de sapin de Noël en cm
142,24
154,94
132,08
157,48
160,02
86,36
119,38
88,9
111,76
149,86
177,8
154,94
165,1
129,54
165,1
182,88
139,7
180,34
144,78
190,5
134,62
121,92
139,7
170,18
152,4
152,4
185,42
187,96
109,22
187,96
180,34
134,62
147,32
149,86
142,24
157,48
121,92
165,1
172,72
129,54
185,42
157,48
203,2
134,62
162,56
111,76
170,18
114,3
147,32
121,92
127
144,78
182,88
139,7
142,24
157,48
182,88
144,78
124,46
157,48
116,84
154,94
132,08
116,84
182,88
142,24
116,84
121,92
144,78
132,08
137,16
185,42
180,34
177,8
167,64
170,18
147,32
180,34
190,5
127
111,76
149,86
142,24
137,16
160,02
109,22
172,72
175,26
139,7
160,02
121,92
124,46
177,8
152,4
170,18
119,38
124,46
175,26
167,64
185,42
